Transaction_Date,Transaction_Ref,Description,Withdrawal,Deposit,Balance
2024-07-31,923002247,CREDIT,0.0,923002247.0,0.0
2024-08-04,1710852,DEPOSIT,0.0,1710852.0,0.0
2024-08-04,1722632,DEPOSIT,0.0,1722632.0,0.0
2024-08-04,1946922,WITHDRAWAL,0.0,245.0,0.0
2024-08-05,175711,DEPOSIT,0.0,175711.0,0.0
2024-08-05,2231470,WITHDRAWAL,0.0,45.0,0.0
2024-08-06,1482965,WITHDRAWAL,0.0,275.0,0.0
2024-08-06,1492787,DEPOSIT,0.0,1492787.0,0.0
2024-08-06,1495603,WITHDRAWAL,0.0,190.0,0.0
2024-08-06,1697597,WITHDRAWAL,0.0,180.0,0.0
2024-08-08,242434,DEBIT,9.0,0.0,0.28
2024-08-08,661964,DEPOSIT,0.0,661964.0,0.0
2024-08-08,2110544,WITHDRAWAL,0.0,2110544.0,0.0
2024-08-08,2312117,DEBIT,47.0,0.0,400.28
2024-08-09,20093,WITHDRAWAL,0.0,20093.0,0.0
2024-08-10,1597051,WITHDRAWAL,0.0,1597051.0,0.0
2024-08-10,1643965,WITHDRAWAL,0.0,125.0,0.0
2024-08-10,1712214,WITHDRAWAL,0.0,20.0,0.0
2024-08-15,478271,DEPOSIT,0.0,478271.0,0.0
2024-08-15,488521,WITHDRAWAL,0.0,110.0,0.0
2024-08-16,167195,DEBIT,5.0,0.0,190.28
2024-08-16,880540,WITHDRAWAL,0.0,190.0,0.0
2024-08-17,869993,DEPOSIT,0.0,869993.0,0.0
2024-08-17,885360,DEPOSIT,0.0,885360.0,0.0
2024-08-17,1495356,DEPOSIT,0.0,1495356.0,0.0
2024-08-17,1704966,WITHDRAWAL,0.0,200.0,0.0
2024-08-17,1757613,WITHDRAWAL,0.0,820.0,0.0
2024-08-17,1827942,WITHDRAWAL,0.0,300.0,0.0
2024-08-17,1945693,WITHDRAWAL,0.0,400.0,0.0
2024-08-18,62070,WITHDRAWAL,0.0,100.0,0.0
2024-08-22,2111567,DEPOSIT,0.0,2111567.0,0.0
2024-08-23,160769,WITHDRAWAL,0.0,160769.0,0.0
2024-08-23,1039267,DEPOSIT,0.0,1039267.0,0.0
2024-08-25,47785,WITHDRAWAL,0.0,47785.0,0.0
2024-08-25,1249847,WITHDRAWAL,0.0,290.0,0.0
2024-08-27,1385207,DEPOSIT,0.0,1385207.0,0.0
2024-08-27,1545255,WITHDRAWAL,0.0,80.0,0.0
2024-08-31,923002158,CREDIT,0.0,923002158.0,0.0
2024-09-01,1393992,DEPOSIT,0.0,1393992.0,0.0
2024-09-01,1696613,DEPOSIT,0.0,1696613.0,0.0
2024-09-01,1907288,WITHDRAWAL,0.0,1907288.0,0.0
2024-09-01,2313368,WITHDRAWAL,0.0,720.0,0.0
2024-09-02,51073,WITHDRAWAL,0.0,500.0,0.0
2024-09-03,1567108,WITHDRAWAL,0.0,105.0,0.0
2024-09-03,1603651,WITHDRAWAL,0.0,360.0,0.0
2024-09-03,1604830,WITHDRAWAL,0.0,360.0,0.0
2024-09-03,1817896,WITHDRAWAL,0.0,125.0,0.0
2024-09-04,1243285,WITHDRAWAL,0.0,500.0,0.0
2024-09-04,1255745,WITHDRAWAL,0.0,10.0,0.0
2024-09-06,1527760,DEBIT,15.0,0.0,0.36
2024-09-07,201893,DEPOSIT,0.0,201893.0,0.0
2024-09-07,203354,DEBIT,99.0,0.0,2901.36
2024-09-07,271369,WITHDRAWAL,0.0,271369.0,159202146852453.0
2024-09-07,335429,WITHDRAWAL,0.0,50.0,0.0
2024-09-07,384401,WITHDRAWAL,0.0,40.0,0.0
2024-09-07,392877,WITHDRAWAL,0.0,350.0,0.0
2024-09-07,422525,WITHDRAWAL,0.0,10.0,0.0
2024-09-07,668445,WITHDRAWAL,0.0,130.0,0.0
2024-09-07,702303,WITHDRAWAL,0.0,150.0,0.0
2024-09-07,787981,WITHDRAWAL,0.0,100.0,0.0
2024-09-07,789140,DEPOSIT,0.0,789140.0,0.0
2024-09-07,1490529,WITHDRAWAL,0.0,1490529.0,0.0
2024-09-08,1400928,WITHDRAWAL,0.0,140.0,0.0
2024-09-08,1640769,WITHDRAWAL,0.0,710.0,0.0
2024-09-08,1660331,WITHDRAWAL,0.0,5.0,0.0
2024-09-08,1624943,WITHDRAWAL,0.0,195.0,0.0
2024-09-09,41830,WITHDRAWAL,0.0,900.0,0.0
2024-09-09,42997,WITHDRAWAL,0.0,71.0,0.0
2024-09-12,556697,DEPOSIT,0.0,556697.0,0.0
2024-09-12,883575,WITHDRAWAL,0.0,60.0,0.0
2024-09-12,1023390,WITHDRAWAL,0.0,265.0,0.0
2024-09-12,1038661,WITHDRAWAL,0.0,35.0,0.0
2024-09-12,1184162,DEPOSIT,0.0,1184162.0,0.0
2024-09-12,1169354,WITHDRAWAL,0.0,1650.0,0.0
2024-09-12,1223785,WITHDRAWAL,0.0,320.0,0.0
2024-09-12,1233943,DEPOSIT,0.0,1233943.0,0.0
2024-09-12,1246171,WITHDRAWAL,0.0,40.0,0.0
2024-09-12,1238797,DEPOSIT,0.0,1238797.0,0.0
